,player,scrape_name,player_image_link
1906,Anžejs Pasečņiks,pasečan01,https://www.basketball-reference.com/req/202106291/images/headshots/pasečan01.jpg
1907,Romeo Langford,langfro01,https://www.basketball-reference.com/req/202106291/images/headshots/langfro01.jpg
1908,Vlatko Čančar,čančavl01,https://www.basketball-reference.com/req/202106291/images/headshots/čančavl01.jpg
1909,Louis King,kinglo01,https://www.basketball-reference.com/req/202106291/images/headshots/kinglo01.jpg
1910,Kevin Hervey,herveke01,https://www.basketball-reference.com/req/202106291/images/headshots/herveke01.jpg
1911,Alen Smailagić,smailal01,https://www.basketball-reference.com/req/202106291/images/headshots/smailal01.jpg
1912,Adam Mokoka,mokokad01,https://www.basketball-reference.com/req/202106291/images/headshots/mokokad01.jpg
1913,Juwan Morgan,morgaju01,https://www.basketball-reference.com/req/202106291/images/headshots/morgaju01.jpg
1914,Rayjon Tucker,tuckera01,https://www.basketball-reference.com/req/202106291/images/headshots/tuckera01.jpg
1915,Josh Reaves,reavejo01,https://www.basketball-reference.com/req/202106291/images/headshots/reavejo01.jpg
1916,Amir Coffey,coffeam01,https://www.basketball-reference.com/req/202106291/images/headshots/coffeam01.jpg
1917,Paul Watson,watsopa01,https://www.basketball-reference.com/req/202106291/images/headshots/watsopa01.jpg
1918,Michael Frazier,frazimi01,https://www.basketball-reference.com/req/202106291/images/headshots/frazimi01.jpg
1919,Kyle Guy,guyky01,https://www.basketball-reference.com/req/202106291/images/headshots/guyky01.jpg
1920,Jalen Lecque,lecquja01,https://www.basketball-reference.com/req/202106291/images/headshots/lecquja01.jpg
1921,Matt Mooney,moonema01,https://www.basketball-reference.com/req/202106291/images/headshots/moonema01.jpg
1922,Zion Williamson,willizi01,https://www.basketball-reference.com/req/202106291/images/headshots/willizi01.jpg
1923,Vic Law,lawvi01,https://www.basketball-reference.com/req/202106291/images/headshots/lawvi01.jpg
1924,Gabe Vincent,vincega01,https://www.basketball-reference.com/req/202106291/images/headshots/vincega01.jpg
1925,John Konchar,konchjo01,https://www.basketball-reference.com/req/202106291/images/headshots/konchjo01.jpg
1926,Isaiah Roby,robyis01,https://www.basketball-reference.com/req/202106291/images/headshots/robyis01.jpg
1927,Jeremiah Martin,martije01,https://www.basketball-reference.com/req/202106291/images/headshots/martije01.jpg
1928,Eric Mika,mikaer01,https://www.basketball-reference.com/req/202106291/images/headshots/mikaer01.jpg
1929,Tariq Owens,owensta01,https://www.basketball-reference.com/req/202106291/images/headshots/owensta01.jpg
